topic,from_perc,to_prec,change_perc,year
rahapesu terrorismi andmeburoo,0.021,0.199,849.103,2016 vs 2017
talupidajate kaubanduskoja kaubanduskoda,0.011,0.231,2097.922,2016 vs 2017
apteeke apteegid apteekide,0.105,0.315,199.717,2016 vs 2017
oppelaenu sugava puudega,0.011,0.21,1898.111,2016 vs 2017
riigiabi komisjonilt loa,0.179,0.409,129.195,2016 vs 2017
hooldekodus hoolduse hooldekodu,0.231,0.472,104.352,2016 vs 2017
annetused annetusi annetuste,0.063,0.21,233.019,2016 vs 2017
uhistranspordi uhistransport uhistransporti,0.2,0.409,105.069,2016 vs 2017
korterelamute kortermajade kredexi,0.179,0.378,111.565,2016 vs 2017
maavalitsuste maavalitsused maakonna,1.176,1.605,36.478,2016 vs 2017
oigusriik oigusriigi oigusriigist,0.158,0.346,119.792,2016 vs 2017
iive sundimus iibe,0.284,0.514,81.31,2016 vs 2017
rongi rongide rongid,0.084,0.231,174.74,2016 vs 2017
danske filiaali rahapesu,0.095,0.231,144.214,2016 vs 2017
muundatud geneetiliselt gmo,0.042,0.147,249.669,2016 vs 2017
rahvuse rahvust rahvusriik,0.651,0.934,43.413,2016 vs 2017
hansson ardo panga,0.158,0.315,99.811,2016 vs 2017
toonadalal istungid taiendaval,0.515,0.766,48.839,2016 vs 2017
terviseandmed isikuandmeid terviseandmeid,0.441,0.672,52.237,2016 vs 2017
tsernoboli represseeritud oigusvastaselt,0.011,0.094,799.15,2016 vs 2017
palgalohe soolist meeste,0.641,0.902,40.85,2016 vs 2017
kodakondsust kodakondsuse kodanikuks,0.231,0.399,72.564,2016 vs 2017
vallaga vald sauga,2.311,2.76,19.433,2016 vs 2017
uuring uuringut uuringu,0.284,0.462,62.809,2016 vs 2017
untso missioonide liikmesusest,0.252,0.42,66.509,2016 vs 2017
kandideerima ametikohale kandidaatide,0.084,0.189,124.788,2016 vs 2017
ametipalkade riigiteenijate korgemate,0.063,0.157,149.764,2016 vs 2017
liibanonis missioonil pikendamine,0.221,0.367,66.509,2016 vs 2017
seksuaalse vangistusega vaarkohtlemise,0.053,0.136,159.754,2016 vs 2017
lasteaia lasteaias lasteaiakoha,0.294,0.451,53.426,2016 vs 2017
korrata stenogrammist vabandan,0.042,0.115,174.74,2016 vs 2017
ametiuhingute tooandjate keskliit,0.294,0.441,49.858,2016 vs 2017
ugri rahvaste polisrahvaste,0.053,0.126,139.773,2016 vs 2017
noukogudesse ariuhingute noukogudes,0.378,0.535,41.533,2016 vs 2017
kusimusena tahtsa tahtsusega,0.116,0.21,81.646,2016 vs 2017
riigimetsa majandamise noukokku,0.063,0.136,116.462,2016 vs 2017
slovakkia ungari portugal,0.578,0.756,30.785,2016 vs 2017
taanis saksamaal hollandis,0.42,0.567,34.873,2016 vs 2017
karistuse karistus tingimisi,1.145,1.375,20.07,2016 vs 2017
annetus erjk annetuse,0.084,0.157,87.323,2016 vs 2017
kutsehariduse kutseharidus kutsehariduses,0.536,0.693,29.29,2016 vs 2017
tervist tervis tervisega,0.042,0.094,124.788,2016 vs 2017
pealinnast tallinnast viljandisse,0.536,0.682,27.331,2016 vs 2017
planeeringu keskkonnamoju keskkonnamojude,0.137,0.21,53.701,2016 vs 2017
ulikooliga kbfi instituudi,0.189,0.273,44.308,2016 vs 2017
pensioni pension sammas,0.2,0.283,41.971,2016 vs 2017
korruptsiooni korruptsioon korruptsiooniga,0.21,0.294,39.868,2016 vs 2017
lahususe voimude lahusus,0.284,0.378,33.207,2016 vs 2017
muugimaksu muugimaks paadimaksu,0.042,0.084,99.811,2016 vs 2017
kala kalurid kalurite,0.116,0.178,54.4,2016 vs 2017
ammendumiseni kaheni pikendada,0.231,0.315,36.235,2016 vs 2017
valitsemisalade katteallikaks riigieelarves,0.021,0.052,149.764,2016 vs 2017
opositsiooni koalitsioonil opositsioonil,0.242,0.325,34.655,2016 vs 2017
opositsioonis koalitsiooni opositsiooni,1.103,1.259,14.178,2016 vs 2017
valijate erakonda valijaid,0.504,0.609,20.719,2016 vs 2017
moisteid moiste moisted,0.515,0.619,20.294,2016 vs 2017
maantee neljarealiseks ppp,0.116,0.168,45.317,2016 vs 2017
koondaruande majandusaasta koondaruanne,0.011,0.031,199.717,2016 vs 2017
piima toorpiima toodangut,0.557,0.661,18.756,2016 vs 2017
valdkonnad laekumisest fikseeritakse,0.042,0.073,74.835,2016 vs 2017
eelarves riigieelarves reservist,0.924,1.049,13.529,2016 vs 2017
ajakirjandus ajakirjanduse ajakirjandust,0.315,0.388,23.217,2016 vs 2017
koneleja konsensuslikud repliigi,0.053,0.084,59.849,2016 vs 2017
tantsupeo laulu traditsiooni,0.168,0.22,31.126,2016 vs 2017
kaitseliit kaitseliidule kaitseliidu,0.515,0.598,16.217,2016 vs 2017
kantsler kantsleri riigisekretar,0.221,0.273,23.693,2016 vs 2017
huvigruppe huvigruppide kaasatud,0.767,0.86,12.223,2016 vs 2017
varude varud varu,0.084,0.115,37.37,2016 vs 2017
koolituse koolitus koolitusele,0.084,0.115,37.37,2016 vs 2017
objekti anu raua,0.095,0.126,33.207,2016 vs 2017
jaatmeid liigiti prugi,0.284,0.336,18.407,2016 vs 2017
erso teatri kontserdi,0.011,0.021,99.811,2016 vs 2017
id mobiil kaardi,0.41,0.462,12.714,2016 vs 2017
est kavatsuste for,0.0,0.021,19881.112,2016 vs 2017
ene ergma aplaus,0.0,0.021,19881.112,2016 vs 2017
kolledz kolledzi turi,0.074,0.094,28.45,2016 vs 2017
piirivalve valvamise valvamine,0.326,0.367,12.797,2016 vs 2017
jarviku jarvik maaeluministri,0.368,0.409,11.323,2016 vs 2017
hoiu pangad pankade,0.116,0.136,18.07,2016 vs 2017
teatri teater rahvusooper,0.032,0.042,33.207,2016 vs 2017
laari laar kandidatuuri,0.032,0.042,33.207,2016 vs 2017
piirikontrolli schengeni valispiiri,0.158,0.178,13.226,2016 vs 2017
humni humn laulda,0.042,0.052,24.882,2016 vs 2017
psuhhiaatri alaealine psuhhiaatrilist,0.326,0.346,6.351,2016 vs 2017
kandidaati kandidaat valituks,0.095,0.105,11.006,2016 vs 2017
viirust vaktsineeritud viiruse,0.095,0.105,11.006,2016 vs 2017
puude raskusastme puuet,0.095,0.105,11.006,2016 vs 2017
louis freeh kremli,0.105,0.115,9.896,2016 vs 2017
missiooni missioonile missioon,0.504,0.525,4.068,2016 vs 2017
ootuse oigusparase oiguskindluse,0.273,0.283,3.748,2016 vs 2017
eelarvele kulude riigieelarvele,0.273,0.283,3.748,2016 vs 2017
oigusloome oigusloomes oiguspoliitika,0.294,0.304,3.474,2016 vs 2017
kinnitamise paevakorra paevakord,0.462,0.472,2.176,2016 vs 2017
riigireformi riigireformist riigireform,0.756,0.766,1.293,2016 vs 2017
voidusamba vabadussoja uurimiskomisjon,0.021,0.021,-0.094,2016 vs 2017
kohtunike kohtususteem kohtuniku,0.956,0.955,-0.094,2016 vs 2017
toovoimereformi toovoimega toovoimereform,0.336,0.325,-3.216,2016 vs 2017
kauguhendus avaksite ettekandjalt,0.2,0.189,-5.353,2016 vs 2017
hadaolukorda eriolukord eriolukorra,0.168,0.157,-6.339,2016 vs 2017
omandireformi tagastatud omandireform,0.126,0.115,-8.42,2016 vs 2017
uliopilased uliopilastele uliopilaste,0.494,0.472,-4.346,2016 vs 2017
operatsioonil sojalisel panustamisel,0.105,0.094,-10.085,2016 vs 2017
jalitustegevuse jalitustoimingu sideandmete,0.105,0.094,-10.085,2016 vs 2017
treenerite spordi sport,0.389,0.367,-5.495,2016 vs 2017
volitust kaasuses jarvik,0.084,0.073,-12.583,2016 vs 2017
hanke hankija riigihangete,0.714,0.682,-4.502,2016 vs 2017
muraste kase kompleksi,0.242,0.22,-8.782,2016 vs 2017
keskkonnaameti uhendamine uhendamise,0.189,0.168,-11.195,2016 vs 2017
hoone rkas hoonet,0.704,0.661,-6.059,2016 vs 2017
lisaeelarve lisaeelarves lisaeelarvega,0.042,0.031,-25.071,2016 vs 2017
kaasne lisakulutusi riigieelarvele,0.326,0.294,-9.763,2016 vs 2017
kohtla jarve johvi,0.326,0.294,-9.763,2016 vs 2017
tarbijakaitse amet ametile,0.126,0.105,-16.745,2016 vs 2017
abipolitseinik abipolitseiniku abipolitseinike,0.032,0.021,-33.396,2016 vs 2017
pohiseadusega riigikohus oiguskantsler,0.704,0.651,-7.55,2016 vs 2017
arengufond arengufondi arengufondis,1.019,0.955,-6.274,2016 vs 2017
koosoleku elektrooniline koosolekut,0.011,0.0,-99.001,2016 vs 2017
kasvavad tuleval kasv,0.21,0.178,-15.08,2016 vs 2017
mes maale maaelu,0.095,0.073,-22.296,2016 vs 2017
vee monopolide veeteenuse,0.084,0.063,-25.071,2016 vs 2017
lng terminali gaasi,0.179,0.147,-17.725,2016 vs 2017
eripensioni valjateenitud staazi,0.147,0.115,-21.503,2016 vs 2017
majandusaasta koondaruanne raamatupidamise,0.242,0.199,-17.469,2016 vs 2017
tootuna arvele ariuhingu,0.137,0.105,-23.15,2016 vs 2017
teenistuse teenistuses avalikus,0.137,0.105,-23.15,2016 vs 2017
aardla pria pealtnagija,0.063,0.042,-33.396,2016 vs 2017
energiaagentuur agentuuri agentuur,0.063,0.042,-33.396,2016 vs 2017
memorandumi moistmise memorandum,0.074,0.0,-99.857,2016 vs 2017
normitehnika mojude eeskiri,0.441,0.378,-14.367,2016 vs 2017
tooandja tooandjal tootaja,0.305,0.252,-17.32,2016 vs 2017
vagivalla naistevastase perevagivalla,0.41,0.346,-15.465,2016 vs 2017
tapsustatakse ajakohastatakse nouete,0.546,0.472,-13.543,2016 vs 2017
poolte kokkuleppel huvitise,0.179,0.136,-23.602,2016 vs 2017
lapsetoetust lapsetoetus lapsetoetuse,0.525,0.451,-14.081,2016 vs 2017
kaitsekulud kaitsekulutused kaitsekulude,0.168,0.126,-25.071,2016 vs 2017
kaibemaksu kaibemaks kaibemaksumaara,0.242,0.189,-21.813,2016 vs 2017
domeenide domeeni interneti,0.042,0.021,-50.047,2016 vs 2017
tootuli lepitaja ametiuhingute,0.042,0.021,-50.047,2016 vs 2017
tulubaasi omavalitsustele omavalitsuste,0.725,0.63,-13.126,2016 vs 2017
riigipuha puhade tahtpaevade,0.084,0.052,-37.559,2016 vs 2017
riigikontrolor karis riigikontrolori,0.137,0.094,-30.835,2016 vs 2017
erimargistatud kutust kutuse,0.242,0.178,-26.157,2016 vs 2017
haale valimispaeval valimiste,1.05,0.913,-13.082,2016 vs 2017
soita jalakaija konniteel,0.609,0.504,-17.32,2016 vs 2017
joustumine joustuma joustada,0.725,0.609,-16.021,2016 vs 2017
inflatsiooni inflatsioon hinnatous,0.158,0.105,-33.396,2016 vs 2017
ooteala piiriuletuse piiripunkti,0.095,0.052,-44.497,2016 vs 2017
pensionitous pensionitousu pension,0.2,0.136,-31.644,2016 vs 2017
teede teehoiuks teedele,0.137,0.084,-38.52,2016 vs 2017
sigade katku katk,0.326,0.241,-25.877,2016 vs 2017
prokuratuur prokuratuuri prokuror,0.924,0.776,-15.989,2016 vs 2017
krimmi agressiooni ukraina,1.187,1.007,-15.124,2016 vs 2017
haiguspaevade haiguspaevi haiguspaeva,0.042,0.01,-75.024,2016 vs 2017
fie fuusilisest isikust,0.389,0.283,-27.096,2016 vs 2017
jahimehed jahimeeste jahti,0.189,0.115,-38.947,2016 vs 2017
liiklussurmade liikluses hukkunute,0.242,0.157,-34.844,2016 vs 2017
valismaale valjarande valjaranne,0.473,0.346,-26.736,2016 vs 2017
kirik kiriku maarja,0.158,0.084,-46.717,2016 vs 2017
kontrollin haaled kandidaadi,0.084,0.031,-62.535,2016 vs 2017
kulukuse krediidi kiirlaenude,0.105,0.042,-60.038,2016 vs 2017
kusija vastaja vastasin,0.074,0.021,-71.456,2016 vs 2017
raamatukogu pimedate raamatukogude,0.074,0.021,-71.456,2016 vs 2017
tulumaksuvaba maksususteemi tulumaksu,1.912,1.616,-15.465,2016 vs 2017
kodualuse maamaksu maamaksust,0.126,0.052,-58.373,2016 vs 2017
lipud lippude lipp,0.095,0.031,-66.698,2016 vs 2017
pensionifondide pensionifondid fondid,0.494,0.336,-31.979,2016 vs 2017
pensioniiga pensioniea eluiga,0.231,0.126,-45.506,2016 vs 2017
vanemahuvitist vanemahuvitise vanemahuvitis,0.62,0.441,-28.881,2016 vs 2017
arengukavad arengukavade pohialuste,1.124,0.871,-22.503,2016 vs 2017
valimiskomisjon proteste valimiskasti,0.252,0.136,-45.884,2016 vs 2017
relva relvade relvaluba,0.21,0.105,-50.047,2016 vs 2017
haaletamissedel haaletamiskasti sedeli,0.137,0.052,-61.575,2016 vs 2017
post posti omniva,0.168,0.073,-56.291,2016 vs 2017
teenuseid teenused teenust,0.242,0.126,-47.875,2016 vs 2017
sularaha kommertspangad pangad,0.242,0.126,-47.875,2016 vs 2017
rahvaalgatuse rahvaalgatus rahvahaaletus,0.2,0.094,-52.676,2016 vs 2017
borsile ipo enefit,0.357,0.21,-41.232,2016 vs 2017
riigikontrolli auditi auditit,0.693,0.483,-30.369,2016 vs 2017
hiv narkomaania epideemia,0.126,0.042,-66.698,2016 vs 2017
katteallikas katteallikaid katteallikat,0.347,0.199,-42.479,2016 vs 2017
kohtutaiturite kohtutaitur kohtutaituri,0.179,0.073,-58.862,2016 vs 2017
riigiloivude riigiloivud riigiloivu,0.179,0.073,-58.862,2016 vs 2017
direktiivi direktiiv ulevotmise,0.641,0.43,-32.85,2016 vs 2017
elektri elektrit taastuvenergia,1.019,0.745,-26.873,2016 vs 2017
otsevalimise presidenti presidendi,0.578,0.367,-36.424,2016 vs 2017
oiglase virumaale ulemineku,0.158,0.052,-66.698,2016 vs 2017
aituma infotundi jahimehed,0.63,0.388,-38.392,2016 vs 2017
idapiiri piiririba valjaehitamine,0.284,0.126,-55.598,2016 vs 2017
konkurss konkursi konkurssi,0.315,0.136,-56.708,2016 vs 2017
leping ratifitseerida lepinguga,0.809,0.504,-37.721,2016 vs 2017
kontroll kohaloleku registreeris,0.158,0.01,-93.34,2016 vs 2017
tooandja tervisesse maksuvabalt,0.441,0.21,-52.426,2016 vs 2017
muuseum muuseumi muuseumide,0.336,0.136,-59.413,2016 vs 2017
president ilves presidendi,0.21,0.052,-75.024,2016 vs 2017
hambaravi hammaste hambad,0.284,0.094,-66.698,2016 vs 2017
kinnisasja maad maa,1.05,0.661,-37.059,2016 vs 2017
utah jordaania energia,0.21,0.042,-80.019,2016 vs 2017
suuria euroopasse turgis,0.294,0.094,-67.887,2016 vs 2017
eriarstide eriarstiabi eriarsti,1.912,1.354,-29.188,2016 vs 2017
aasia aasias saatkonna,0.599,0.294,-50.924,2016 vs 2017
veb fondi uurimiskomisjon,0.263,0.063,-76.023,2016 vs 2017
valimisea valimisiga valimisoiguse,0.378,0.136,-63.923,2016 vs 2017
pollumeestele pollumehi pollumehed,1.344,0.86,-35.998,2016 vs 2017
virumaale virumaa toostusalade,0.977,0.567,-41.99,2016 vs 2017
nord stream streami,0.336,0.105,-68.78,2016 vs 2017
salastatud valisteabe riigisaladuse,0.273,0.063,-76.945,2016 vs 2017
elamisluba elamisloa viisa,0.809,0.43,-46.804,2016 vs 2017
lae korgepalgaliste lagi,0.441,0.168,-61.941,2016 vs 2017
haalte kandidaatidele haaletamisest,0.252,0.042,-83.349,2016 vs 2017
vaesuses suhtelises vaesuse,0.284,0.063,-77.799,2016 vs 2017
matusetoetust matusetoetus matusetoetuse,0.336,0.094,-71.902,2016 vs 2017
koolilouna koolitoidu koolitoit,0.368,0.105,-71.456,2016 vs 2017
miili baasvorgu lairiba,0.756,0.367,-51.435,2016 vs 2017
piirilepingu piirileping piirilepingut,0.662,0.294,-55.598,2016 vs 2017
pagulasi pagulased pagulaste,0.672,0.294,-56.291,2016 vs 2017
kandidaadi kandidaati kandidaat,0.441,0.136,-69.077,2016 vs 2017
tootuid tootute tootu,0.368,0.073,-80.019,2016 vs 2017
riigipalgaliste riigisektoris koondada,0.767,0.336,-56.206,2016 vs 2017
elatisraha elatisabi elatise,0.588,0.01,-98.216,2016 vs 2017
korteriuhistu korteriomanike korteriuhistute,0.378,0.042,-88.899,2016 vs 2017
rahvahaaletuse rahvahaaletus rahvahaaletusel,0.473,0.115,-75.579,2016 vs 2017
palgatousu opetajate palgatous,1.061,0.514,-51.531,2016 vs 2017
tulubaasi tasandusfondi tulumaksuosa,0.693,0.252,-63.671,2016 vs 2017
volakirjade keskpank volakirju,0.651,0.22,-66.161,2016 vs 2017
korterid kortereid korterit,0.714,0.252,-64.739,2016 vs 2017
liitlaste ohutorje keskmaa,0.767,0.273,-64.417,2016 vs 2017
vabatahtlike komandode paasteameti,0.851,0.294,-65.465,2016 vs 2017
abielu kooselu samasooliste,1.397,0.63,-54.93,2016 vs 2017
keeleoskust oskuse keeleoskuse,0.735,0.178,-75.737,2016 vs 2017
lipu laevu kaubalaeva,0.735,0.147,-80.019,2016 vs 2017
salvestisi salvestised salvestiste,1.355,0.525,-61.277,2016 vs 2017
deklaratsiooni deklaratsioone deklaratsioonis,0.735,0.105,-85.728,2016 vs 2017
ts parvlaeva parvlaevad,1.124,0.367,-67.321,2016 vs 2017
efsf esm kreekale,0.83,0.168,-79.766,2016 vs 2017
estonian air airi,0.872,0.042,-95.185,2016 vs 2017
danske filiaali rahapesu,0.231,1.212,425.101,2017 vs 2018
borsile ipo enefit,0.21,1.136,441.131,2017 vs 2018
omandireformi tagastatud omandireform,0.115,0.957,729.108,2017 vs 2018
uhistranspordi uhistransport uhistransporti,0.409,1.353,230.509,2017 vs 2018
kodakondsust kodakondsuse kodanikuks,0.399,1.327,232.807,2017 vs 2018
humni humn laulda,0.052,0.957,1724.037,2017 vs 2018
idapiiri piiririba valjaehitamine,0.126,0.817,548.546,2017 vs 2018
veb fondi uurimiskomisjon,0.063,0.715,1034.956,2017 vs 2018
relva relvade relvaluba,0.105,0.689,556.653,2017 vs 2018
etv saateid pbk,0.451,1.136,151.689,2017 vs 2018
pensioni pension sammas,0.283,0.88,210.762,2017 vs 2018
apteeke apteegid apteekide,0.315,0.919,191.846,2017 vs 2018
kirik kiriku maarja,0.084,0.561,568.813,2017 vs 2018
missiooni missioonile missioon,0.525,1.199,128.613,2017 vs 2018
uliopilased uliopilastele uliopilaste,0.472,1.11,135.098,2017 vs 2018
lipu laevu kaubalaeva,0.147,0.612,316.923,2017 vs 2018
prokuratuur prokuratuuri prokuror,0.776,1.518,95.55,2017 vs 2018
keskkonnaameti uhendamine uhendamise,0.168,0.6,257.207,2017 vs 2018
pensionitous pensionitousu pension,0.136,0.549,302.223,2017 vs 2018
hooldekodus hoolduse hooldekodu,0.472,1.046,121.587,2017 vs 2018
kohtutaiturite kohtutaitur kohtutaituri,0.073,0.447,508.012,2017 vs 2018
est kavatsuste for,0.021,0.408,1845.639,2017 vs 2018
terviseandmed isikuandmeid terviseandmeid,0.672,1.25,86.204,2017 vs 2018
riigipuha puhade tahtpaevade,0.052,0.357,580.974,2017 vs 2018
koolituse koolitus koolitusele,0.115,0.434,275.862,2017 vs 2018
eriarstide eriarstiabi eriarsti,1.354,2.08,53.653,2017 vs 2018
pensioniiga pensioniea eluiga,0.126,0.447,254.674,2017 vs 2018
konkurss konkursi konkurssi,0.136,0.459,236.745,2017 vs 2018
direktiivi direktiiv ulevotmise,0.43,0.842,95.75,2017 vs 2018
efsf esm kreekale,0.168,0.447,166.005,2017 vs 2018
laari laar kandidatuuri,0.042,0.242,477.612,2017 vs 2018
raamatukogu pimedate raamatukogude,0.021,0.179,751.217,2017 vs 2018
teenuseid teenused teenust,0.126,0.332,163.472,2017 vs 2018
puude raskusastme puuet,0.105,0.281,167.525,2017 vs 2018
riigipalgaliste riigisektoris koondada,0.336,0.6,78.604,2017 vs 2018
kusija vastaja vastasin,0.021,0.153,629.615,2017 vs 2018
tootuid tootute tootu,0.073,0.23,212.692,2017 vs 2018
abipolitseinik abipolitseiniku abipolitseinike,0.021,0.14,568.813,2017 vs 2018
valdkonnad laekumisest fikseeritakse,0.073,0.217,195.32,2017 vs 2018
palgatousu opetajate palgatous,0.514,0.804,56.346,2017 vs 2018
teede teehoiuks teedele,0.084,0.23,173.605,2017 vs 2018
tantsupeo laulu traditsiooni,0.22,0.421,91.09,2017 vs 2018
teenistuse teenistuses avalikus,0.105,0.242,131.045,2017 vs 2018
elatisraha elatisabi elatise,0.01,0.102,872.82,2017 vs 2018
volakirjade keskpank volakirju,0.22,0.396,79.508,2017 vs 2018
utah jordaania energia,0.042,0.14,234.407,2017 vs 2018
keeleoskust oskuse keeleoskuse,0.178,0.332,85.98,2017 vs 2018
kaibemaksu kaibemaks kaibemaksumaara,0.189,0.345,82.404,2017 vs 2018
tootuli lepitaja ametiuhingute,0.021,0.102,386.41,2017 vs 2018
korterid kortereid korterit,0.252,0.421,67.203,2017 vs 2018
pagulasi pagulased pagulaste,0.294,0.472,60.689,2017 vs 2018
ajakirjandus ajakirjanduse ajakirjandust,0.388,0.587,51.181,2017 vs 2018
jarviku jarvik maaeluministri,0.409,0.612,49.665,2017 vs 2018
maantee neljarealiseks ppp,0.168,0.306,82.404,2017 vs 2018
kandidaati kandidaat valituks,0.105,0.217,106.724,2017 vs 2018
oiglase virumaale ulemineku,0.052,0.14,167.525,2017 vs 2018
kontroll kohaloleku registreeris,0.01,0.077,629.615,2017 vs 2018
vaesuses suhtelises vaesuse,0.063,0.153,143.205,2017 vs 2018
muuseum muuseumi muuseumide,0.136,0.255,87.081,2017 vs 2018
skais arendused infosusteemide,0.304,0.459,50.955,2017 vs 2018
teatri teater rahvusooper,0.042,0.115,173.605,2017 vs 2018
kodualuse maamaksu maamaksust,0.052,0.128,143.205,2017 vs 2018
erso teatri kontserdi,0.021,0.077,264.807,2017 vs 2018
volitust kaasuses jarvik,0.073,0.153,108.461,2017 vs 2018
elektri elektrit taastuvenergia,0.745,0.944,26.741,2017 vs 2018
liibanonis missioonil pikendamine,0.367,0.51,38.974,2017 vs 2018
pensionifondide pensionifondid fondid,0.336,0.472,40.603,2017 vs 2018
liiklussurmade liikluses hukkunute,0.157,0.255,62.137,2017 vs 2018
louis freeh kremli,0.115,0.191,65.822,2017 vs 2018
jahimehed jahimeeste jahti,0.115,0.191,65.822,2017 vs 2018
kandidaadi kandidaati kandidaat,0.136,0.217,59.019,2017 vs 2018
poolte kokkuleppel huvitise,0.136,0.217,59.019,2017 vs 2018
palgalohe soolist meeste,0.902,1.085,20.188,2017 vs 2018
ts parvlaeva parvlaevad,0.367,0.485,32.026,2017 vs 2018
aardla pria pealtnagija,0.042,0.089,112.804,2017 vs 2018
eelarves riigieelarves reservist,1.049,1.238,17.954,2017 vs 2018
mes maale maaelu,0.073,0.128,73.718,2017 vs 2018
riigiloivude riigiloivud riigiloivu,0.073,0.128,73.718,2017 vs 2018
haiguspaevade haiguspaevi haiguspaeva,0.01,0.038,264.807,2017 vs 2018
domeenide domeeni interneti,0.021,0.051,143.205,2017 vs 2018
kaasne lisakulutusi riigieelarvele,0.294,0.383,30.288,2017 vs 2018
tulubaasi tasandusfondi tulumaksuosa,0.252,0.332,31.736,2017 vs 2018
annetus erjk annetuse,0.157,0.217,37.816,2017 vs 2018
haaletamissedel haaletamiskasti sedeli,0.052,0.089,70.243,2017 vs 2018
eripensioni valjateenitud staazi,0.115,0.166,43.712,2017 vs 2018
untso missioonide liikmesusest,0.42,0.51,21.602,2017 vs 2018
moisteid moiste moisted,0.619,0.727,17.48,2017 vs 2018
kohtunike kohtususteem kohtuniku,0.955,1.085,13.585,2017 vs 2018
kantsler kantsleri riigisekretar,0.273,0.345,26.279,2017 vs 2018
normitehnika mojude eeskiri,0.378,0.459,21.602,2017 vs 2018
ametiuhingute tooandjate keskliit,0.441,0.523,18.707,2017 vs 2018
kusimusena tahtsa tahtsusega,0.21,0.268,27.683,2017 vs 2018
planeeringu keskkonnamoju keskkonnamojude,0.21,0.268,27.683,2017 vs 2018
psuhhiaatri alaealine psuhhiaatrilist,0.346,0.408,17.918,2017 vs 2018
tarbijakaitse amet ametile,0.105,0.14,33.763,2017 vs 2018
elamisluba elamisloa viisa,0.43,0.498,15.671,2017 vs 2018
koondaruande majandusaasta koondaruanne,0.031,0.051,62.137,2017 vs 2018
lisaeelarve lisaeelarves lisaeelarvega,0.031,0.051,62.137,2017 vs 2018
valitsemisalade katteallikaks riigieelarves,0.052,0.077,45.923,2017 vs 2018
hiv narkomaania epideemia,0.042,0.064,52.003,2017 vs 2018
kulukuse krediidi kiirlaenude,0.042,0.064,52.003,2017 vs 2018
pohiseadusega riigikohus oiguskantsler,0.651,0.727,11.796,2017 vs 2018
vabatahtlike komandode paasteameti,0.294,0.345,17.259,2017 vs 2018
aasia aasias saatkonna,0.294,0.345,17.259,2017 vs 2018
memorandumi moistmise memorandum,0.0,0.038,36380.733,2017 vs 2018
hadaolukorda eriolukord eriolukorra,0.157,0.191,21.602,2017 vs 2018
koosoleku elektrooniline koosolekut,0.0,0.026,24220.489,2017 vs 2018
pollumeestele pollumehi pollumehed,0.86,0.931,8.256,2017 vs 2018
hoiu pangad pankade,0.136,0.166,21.602,2017 vs 2018
riigikontrolli auditi auditit,0.483,0.536,11.028,2017 vs 2018
kohtla jarve johvi,0.294,0.332,12.917,2017 vs 2018
piirilepingu piirileping piirilepingut,0.294,0.332,12.917,2017 vs 2018
jalitustegevuse jalitustoimingu sideandmete,0.094,0.115,21.602,2017 vs 2018
oigusriik oigusriigi oigusriigist,0.346,0.383,10.548,2017 vs 2018
vagivalla naistevastase perevagivalla,0.346,0.383,10.548,2017 vs 2018
opositsioonis koalitsiooni opositsiooni,1.259,1.314,4.375,2017 vs 2018
vanemahuvitist vanemahuvitise vanemahuvitis,0.441,0.472,7.126,2017 vs 2018
estonian air airi,0.042,0.051,21.602,2017 vs 2018
korteriuhistu korteriomanike korteriuhistute,0.042,0.051,21.602,2017 vs 2018
ulikooliga kbfi instituudi,0.273,0.293,7.571,2017 vs 2018
arengukavad arengukavade pohialuste,0.871,0.906,4.021,2017 vs 2018
tooandja tooandjal tootaja,0.252,0.268,6.402,2017 vs 2018
deklaratsiooni deklaratsioone deklaratsioonis,0.105,0.115,9.442,2017 vs 2018
nord stream streami,0.105,0.115,9.442,2017 vs 2018
slovakkia ungari portugal,0.756,0.778,3.024,2017 vs 2018
karistuse karistus tingimisi,1.375,1.404,2.109,2017 vs 2018
korruptsiooni korruptsioon korruptsiooniga,0.294,0.306,4.231,2017 vs 2018
muundatud geneetiliselt gmo,0.147,0.153,4.231,2017 vs 2018
annetused annetusi annetuste,0.21,0.217,3.362,2017 vs 2018
opositsiooni koalitsioonil opositsioonil,0.325,0.332,1.989,2017 vs 2018
majandusaasta koondaruanne raamatupidamise,0.199,0.204,2.402,2017 vs 2018
korrata stenogrammist vabandan,0.115,0.115,-0.507,2017 vs 2018
valismaale valjarande valjaranne,0.346,0.345,-0.507,2017 vs 2018
uuring uuringut uuringu,0.462,0.459,-0.507,2017 vs 2018
treenerite spordi sport,0.367,0.357,-2.718,2017 vs 2018
haalte kandidaatidele haaletamisest,0.042,0.038,-8.798,2017 vs 2018
pealinnast tallinnast viljandisse,0.682,0.664,-2.718,2017 vs 2018
taanis saksamaal hollandis,0.567,0.549,-3.168,2017 vs 2018
virumaale virumaa toostusalade,0.567,0.549,-3.168,2017 vs 2018
krimmi agressiooni ukraina,1.007,0.983,-2.465,2017 vs 2018
koneleja konsensuslikud repliigi,0.084,0.077,-8.798,2017 vs 2018
sularaha kommertspangad pangad,0.126,0.115,-8.798,2017 vs 2018
kontrollin haaled kandidaadi,0.031,0.026,-18.932,2017 vs 2018
tapsustatakse ajakohastatakse nouete,0.472,0.447,-5.42,2017 vs 2018
ammendumiseni kaheni pikendada,0.315,0.293,-6.771,2017 vs 2018
